Category, Price of item in category, Quantity of item sold
Office Supplies,1680.71,4
Office Supplies,2406.93,2
Office Supplies,2257.74,8
Technology,2120.23,9
Office Supplies,696.62,2
Office Supplies,1568.29,10
Office Supplies,1776.39,4
Office Supplies,2464.51,5
Office Supplies,2316.49,1
Office Supplies,1340.72,2
Office Supplies,656.38,8
Office Supplies,1421.51,2
Office Supplies,1523.41,8
Office Supplies,714,4
Office Supplies,2915.54,7
Office Supplies,1891.35,3
Technology,2536.81,1
Office Supplies,1482.84,1
Technology,2121.17,10
Office Supplies,1553.34,2
Office Supplies,2270,1
Furniture,1334.18,10
Office Supplies,1386.23,3
Office Supplies,1416.83,10
Office Supplies,785.91,9
Office Supplies,1903.48,7
Office Supplies,797.29,3
Office Supplies,2226.17,6
Office Supplies,2755.82,10
Technology,2353.49,3
Furniture,1978.37,7
Office Supplies,841.58,6
Furniture,2453.77,8
Office Supplies,700.95,10
Office Supplies,1343.42,11
Technology,1523.25,6
Office Supplies,613.01,2
Office Supplies,2180.26,9
Furniture,1453.44,4
Office Supplies,1491.46,1
Office Supplies,2029.52,11
Office Supplies,1386.22,5
Office Supplies,1274.25,9
Office Supplies,1222.14,4
Furniture,622.82,2
Technology,2782.44,4
Office Supplies,1025.25,5
Office Supplies,2664.36,9
Technology,1254.16,5
Office Supplies,2396.96,3
Office Supplies,720.77,2
Furniture,2933.65,9
Furniture,2458.55,10
Office Supplies,2151.81,2
Technology,931.44,4
Furniture,2043.81,7
Office Supplies,1368.3,6
Office Supplies,2289.74,6
Office Supplies,2235.22,1
Office Supplies,888.25,8
Office Supplies,1493.26,1
Office Supplies,1767.69,9
Furniture,1284.97,5
Office Supplies,2471.97,4
Office Supplies,675.58,1
Office Supplies,1284.33,5
Office Supplies,1392.79,9
Office Supplies,2825.05,5
Office Supplies,2955.35,6
Furniture,1296.56,7
Office Supplies,1520.14,9
Office Supplies,599.62,10
Office Supplies,1767.53,6
Furniture,2958.96,2
Furniture,2066.84,11
Office Supplies,1063.48,11
Office Supplies,2840.33,9
Office Supplies,888.87,2
Technology,1372.59,7
Office Supplies,1055.75,4
Office Supplies,880.49,1
Office Supplies,520.25,11
Office Supplies,879.74,10
Office Supplies,1462.59,4
Office Supplies,2111.87,1
Office Supplies,2059.34,6
Furniture,1957.71,8
Office Supplies,2904.18,9
Technology,2480.39,10
Office Supplies,2696.77,11
Technology,956.22,11
Office Supplies,1098.26,10
Office Supplies,1350.46,7
Office Supplies,1262.18,6
Office Supplies,1136.9,11
Office Supplies,780.03,4
Office Supplies,2796.03,3
Office Supplies,2429.94,1
Office Supplies,731.21,11
Technology,1113.25,6
Office Supplies,1132.73,3
Office Supplies,897.44,7
Office Supplies,2986.19,1
Office Supplies,1223.42,4
Office Supplies,1646.58,11
Office Supplies,2161.18,10
